"Date","Price","Open","High","Low","Change %"
"Oct 08","10,900.0","9,530.0","11,950.0","9,530.0","15.77%"
"Sep 08","9,415.0","9,155.0","9,475.0","9,155.0","2.90%"
"Aug 08","9,150.0","9,090.0","9,225.0","9,062.0","0.60%"
"Jul 08","9,095.0","9,225.0","9,235.0","9,085.0","-1.36%"
"Jun 08","9,220.0","9,310.0","9,360.0","9,195.0","-1.02%"
"May 08","9,315.0","9,230.0","9,385.0","9,209.0","1.01%"
"Apr 08","9,222.0","9,205.0","9,250.0","9,150.0","0.08%"
"Mar 08","9,215.0","9,080.0","9,345.0","9,060.0","1.65%"
"Feb 08","9,065.0","9,235.0","9,290.0","9,042.0","-1.96%"
"Jan 08","9,246.5","9,387.5","9,501.5","9,241.5","-1.55%"
"Dec 07","9,392.5","9,375.5","9,453.5","9,232.5","0.24%"
"Nov 07","9,370.0","9,090.0","9,427.0","9,070.0","3.00%"
"Oct 07","9,097.5","9,112.5","9,197.5","9,037.5","-0.52%"
"Sep 07","9,145.0","9,392.0","9,452.0","9,115.0","-2.61%"
"Aug 07","9,390.0","9,235.0","9,487.0","9,230.0","1.79%"
"Jul 07","9,225.0","9,015.0","9,259.0","8,989.0","2.10%"
"Jun 07","9,035.0","8,835.0","9,150.0","8,760.0","2.36%"
"May 07","8,827.0","9,085.0","9,102.0","8,645.0","-2.87%"
"Apr 07","9,088.0","9,115.0","9,131.0","9,064.0","-0.35%"
"Mar 07","9,120.0","9,145.0","9,265.0","9,075.0","-0.13%"
"Feb 07","9,131.5","9,073.5","9,198.5","9,033.5","0.35%"
"Jan 07","9,100.0","8,980.0","9,181.0","8,935.0","1.18%"
"Dec 06","8,993.5","9,157.5","9,195.5","8,982.5","-1.87%"
"Nov 06","9,165.0","9,090.0","9,225.0","9,075.0","0.78%"
"Oct 06","9,094.0","9,220.0","9,252.0","9,085.0","-1.21%"
"Sep 06","9,205.0","9,105.0","9,265.0","9,075.0","0.97%"
"Aug 06","9,117.0","9,082.0","9,177.0","9,050.0","0.24%"
"Jul 06","9,095.0","9,190.0","9,311.0","9,010.0","-1.81%"
"Jun 06","9,263.0","9,286.0","9,561.0","9,234.0","0.09%"
"May 06","9,255.0","8,790.0","9,430.0","8,695.0","5.35%"
"Apr 06","8,785.0","9,085.0","9,093.0","8,770.0","-3.32%"
"Mar 06","9,087.0","9,165.0","9,410.0","9,010.0","-1.04%"
"Feb 06","9,182.5","9,375.5","9,375.5","9,175.5","-2.00%"
"Jan 06","9,370.0","9,830.0","9,840.0","9,310.0","-4.68%"
